FACILITY NAME,ALT_FAC_NAME,UNIT NAME,CLASS,TYPE,REGION,PSGC_1,PROVINCE,PSGC_2,CITY/MUNICIPALITY,PSGC_3,BARANGAY,PSGC_4,STREET ADDRESS,UPDATED TEL NUMBER,Latitude,Longitude,EMAIL,SCHEDULE,WEBSITE,FB,COMMENTS,CONTRIBUTOR,SOURCE,
Manila Social Hygiene Clinic,,,Government,Primary HIV Care Facility,NCR,,Metropolitan Manila,,Manila City,,,,"208 Quiricada St, Santa Cruz, Manila, 1003 Metro Manila",63 2 53101326; 63 2 7498273; 63 9089004883; 63 9357472929; 63 9455102130,14.613072,120.981532,manilasocialhygieneclinic@yahoo.com,Mo-Fr 08:00-17:00,X,https://www.facebook.com/ManilaSocialHygiene/,,Adam Banto,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf,
Maritime Medical and laboratory Clinic Inc.,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"2/F Paragon Tower Hotel 531 A. Flores St., Ermita Manila",63 2 5263812; 63 2 5263816,14.579704,120.981116,,,,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Mary Johnston Hospital,,MJH Jacob's Well Clinic,,Treatment Hub,NCR,,Metropolitan Manila,,Manila City,,,,"1221 Juan Nolasco Street, Tondo Manila","63 2 2454021 loc. 385,412",14.609039,120.966229,maryjohnstonhospital@yahoo.com.ph,Mo-Fr 08:00-16:00,http://maryjohnston.ph/,,,,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf,
Med Watch Medical Clinic and Diagnostic center,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"1616 Tetra Global Bldg., Pedro Gil Cor. Vasquez, Manila",63 2 4040942,14.575344,120.986999,,,,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Medical Center Manila,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"1122 Gen. Luna St.,Ermita, Manila",63 2 5238131 loc. 2107,14.58252,120.985406,,,https://www.manilamed.com.ph/,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Medway Healthcare Inc.,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"G/F 1636 F. Agoncillo St. Malate, Manila",63 2 4040530,14.576211,120.990268,info@medway.com.ph,,http://www.medway.com.ph/,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Metropolitan Medical Center,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"1357 G. Masangkay St., Sta. Cruz Manila",63 2 2541111 loc. 2101,14.609351,120.978517,customercare@metromedicalcenter.ph,,https://www.mmc.com.ph/,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
MVR Laboratory Diagnostic Center,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"Rm 501 Trinity Bldg., 636 T.M Kalaw St., Ermita Manila",63 2 4043755; 63 2 5240515,14.582049,120.981787,,,X,https://facebook.com/pages/category/Medical-Company/MVR-Laboratory-Diagnostic-Center-553055564768894/,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
"Notre Dame Medico Dental Clinics, Inc.",,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"Elena II Bldg., 1036 J. Nakpil St., Malate, Manila",63 2 5232311 loc. 104,14.575223,120.992562,info@notredameclinic.com,,https://www.notredameclinic.com/,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
"OCW Medical Clinic, Inc.",,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"3/F Regent Bldg., 1415 Gen. Luna St., Ermita Manila",63 2 5367513; 63 2 5239176,14.57985,120.989732,admin@ocwmedicalclinic.com.ph; mktg@ocwmedicalclinic.com.ph,,http://www.ocwmedicalclinic.com/,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Our Lady of Lourdes Hospital Clinical Laboratory,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"46 P. Sanchez St., Sta Mesa, Manila","63 2 7163901 loc. 229,287",14.594919,121.022519,marketing@ollh.ph,,,,,Adam Banto,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Philippine General Hospital,,Philippine General Hospital-Department of Laboratories,Government,Treatment Hub,NCR,,Metropolitan Manila,,Manila City,,,,"Taft Ave., Manila",63 2 85548400 loc. 3249; 63 9205031104,14.57805,120.98554,,Mo-Fr 08:00-16:00,https://www.pgh.gov.ph/,,,Mikko Tamura,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf,
Pinoy Plus Advocacy Pilipinas Inc.,,,NGO,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"1965-B JRB Building, Anacleto Street, Sta Cruz, Manila,., Manila, Metro Manila",63 2 87437293,14.617831,120.982204,pinoy.plus@yahoo.com.ph,Mo-Fr 08:00-17:00,X,https://facebook.com/PinoyPlusAssociationInc/,,Papu Torres,https://www.webbline.com/hiv-testing-centers/,
Positibong Marino Philippines Inc.,,,NGO,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"4th floor, Cabildo St. AMOSUP Seamen’s Center, Intramuros, Manila.",63 9975235171,14.58943,120.97623,admin@positibongmarino.com,,X,https://www.facebook.com/Positibong.MarinoPhil/,,Mikko Tamura,https://www.webbline.com/hiv-testing-centers/,
Positive Action Foundation Philippines Inc.,,,NGO,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"2613 Dian St, Malate, Manila, 1004 Metro Manila",63 2 84042911,14.56518,121.000452,_pafpiorg@gmail.com,Mo-Fr 08:30-17:30,https://pafpi.org/,https://www.facebook.com/pafpi.org,,Iosif,https://www.webbline.com/hiv-testing-centers/,
RBG Medical and Dental Clinic,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"Tesoro Bldg 1353. A. Mabini St., Ermita, Manila",63 2 5211039,14.57633,120.98173,rbg_dtl2006@yahoo.com,,X,https://facebook.com/pages/category/Medical---Health/RBG-MEDICAL-DENTAL-CLINIC-LABORATORY-661072087237810/,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
San Lazaro Hospital,,H4 Pavillion,Government,Treatment Hub,NCR,,Metropolitan Manila,,Manila City,,,,"Quiricada St, Santa Cruz, Manila, Metro Manila",63 9201209330; 63 9178350031; 63 2 3103128; 63 2 732377678,14.613897,120.980609,sanlazarohospital@yahoo.com,Mo-Fr 08:00-16:00,http://slh.doh.gov.ph/,,,,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf,
Sanda Diagnostic Center,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"2/F Sanda Bldg., A Lacson Cor. Laonglaan St., Sampaloc Manila",63 2 4009287; 63 2 7424080,14.613973,120.989054,,,,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Sea Landers Diagnostic and Treatment Center,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"Unit 15 Rothman Hotel, 1633 M. Adriaco St., Manila",63 2 3092629,14.5733665,120.9842288,,,X,https://facebook.com/pages/category/Medical-Center/Sea-Landers-Diagnostic-Treatment-Center-236886446890191/,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
"SM. Lazo Medical Clinic, Inc.",,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"1766 Taft Ave., Cor. J. Nakpil St., Ermita, Manila",63 2 5241891,14.573711,120.989286,,,https://www.smlazoclinic.com/,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
St. Luke's Extension Clinic,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"1177 J. Bacobo St, Ermita, Manila",63 2 5218647 loc. 402; 63 2 85210020; 63 2 85218647; 63 2 85238248,14.579251,120.981701,slec@slec.ph,,https://slec.ph/,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
St. Cecilia Polyclinic,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"3/F Metrobank Bldg., 1149 A. Mabini St., Ermita Manila",63 2 5262643; 63 2 5262621,14.579066,120.980444,,,http://stcecilia.tripod.com/,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
St. Jude Hospital and Medical Center,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"Dimasalang Cor. Don Quijote St., Sampaloc Manila",63 2 7312761 loc. 264; 63 2 7404149,14.615782,120.989005,,,X,https://facebook.com/sjghmc/,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Sta. Ana Hospital,,Clinic 4,Government,Treatment Hub,NCR,,Metropolitan Manila,,Manila City,,,,"2692 New Panaderos Street, 886, Santa Ana Manila, 1009 Metro Manila",63 2 5166790; 63 9093058758,14.58344,121.01628,staanahospital@yahoo.com,,,,,Kevin John Wandaga,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf,
Supercare Medical Services Inc.,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"573 Patria Bldg., Maria Orosa cor. Engracia Reyes (formerly Arkansas St.), Ermita, Manila",63 2 85210024-35,14.579701,120.982334,inquiry@supercare.com.ph,Mo-Fr 07:00-17:00; Sa 08:00-12:00,https://www.supercare.com.ph/,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
"The Family Clinic Hospital Clinic, Inc.",,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"1474 Maria Clara St. Sampaloc,Manila",63 2 7312901 loc. 228,14.614362,120.987023,,,,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Tondo Medical Center,,TMC Haven,Government,Treatment Hub,NCR,,Metropolitan Manila,,Manila City,,,,"H. Lopez Blvd. Balut, Tondo, Manila",63 9989446223,14.635001,120.96289,,Mo-Fr 08:00-17:00,http://tmc.doh.gov.ph/,,,,,
United Doctors Medical Center,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"290 Espana St., Cor. 6 N. Ramirez St., Sampaloc Manila",63 2 7123640 loc. 113; 63 2 7123270,14.61713,121.0019,,,,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
University of Sto. Tomas Hospital,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila CIty,,,,Espana Sampaloc Manila,63 2 7313001 loc. 2611; 63 2 7417882; 63 2 7311985,14.611423,120.990154,,,http://www.usthospital.com.ph/,,,maning,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Vizcarra Diagnostic Center,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"Segundina Bldg. 464 U.N Ave. St, Ermita,Manila",63 2 5245641 loc. 217,14.579768,120.979854,,,,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Good Shepherd Laboratory and Health Diagnostic Services Inc.,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Marikina City,,,,"19 G and F Bldg Unit A G/F Bayan-Bayanan Ave., Concepcion, Marikina City",63 2 9427942,14.650783,121.106466,goodshepherdlaboratorygslhdsi@yahoo.com.ph,,,,,maning,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Health Stat Diagnostic and Health Center,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Marikina City,,,,"83 Unit 15 and 16 Marikina East Center Bldg, Gil Fernando Ave., San Roque, Marikina City",63 2 4770551,14.62483,121.10211,,,,,,maning,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Marikina City HIV Satellite Treatment Hub,Marikina Social Hygiene Clinic,,Government,Primary HIV Care Facility,NCR,,Metropolitan Manila,,Marikina City,,,,"3rd floor, City Health Office of Marikina City",63 2 9422497; 63 9178298862; 63 9338644410,14.63628,121.09771,,Mo-Fr 08:00-17:00,,,,maning,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf,
Alabang Medical Center,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Muntinlupa City,,,,"Alabang Zapote Rd, Alabang, Muntinlupa City",63 2 807819; 63 27750511; 63 2 8508498,14.427734,121.024436,alabangmedicalcenter8@yahoo.com,,https://alabangmedicalcenter.webs.com/,https://www.facebook.com/alabangmedicalcenter/,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
American Bio-Clinical Laboratories International,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Muntinlupa City,,,,"LG 5 Richville Corporate Tower, Madrigal Business Park Ayala Alabang",63 2 8506288; 63 2 8506289; 63 2 8506287,14.426495,121.025229,info@abclab.com.ph,Mo-Sa 06:00-18:00,https://www.abclab.com.ph/abc-laboratories-main/,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Asian Hospital and Medical Center,,,Private,Treatment Hub,NCR,,Metropolitan Manila,,Muntinlupa City,,,,"2205 Civic Drive Filinvest Corporate City, Alabang Muntinlupa City",63 2 7719000 loc. 154; 63 9989641964,14.413277,121.043655,info@asianhospital.com,Su-Fr 08:00-5:00,http://www.asianhospital.com/,,,Mikko Tamura,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf,
Health Cube Medical Clinics (Alabang Branch),,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Muntinlupa City,,,,"2nd floor The Hub Westgate Center, Muntinlupa, 1781 Metro Manila",63 2 8231111,14.422499,121.034197,,,https://healthcubemedicalclinics.continuouscare.io/,,,Kevin John Wandaga,https://www.webbline.com/hiv-testing-centers/,
Hi-Precision Diagnostics (Alabang Branch),,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Muntinlupa City,,,,"Unit 1,2,3,4 AA Corporate Plaza, Civic Drive Filinvest City, Alabang, Muntinlupa City",63 9338193867; 63 9178713008; 63 2 87763702; 63 2 88005987; 63 2 88005967,14.416377,121.043892,info@hi-precision.com.ph,Mo-Sa 06:00-17:00; Su 06:00-12:00,https://www.hi-precision.com.ph/,,,Papu Torres,https://www.webbline.com/hiv-testing-centers/,
MPI-Medical Center Muntinlupa,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Muntinlupa City,,,,"38 National Road, Brgy Putatan,Muntinlupa City",63 2 8620162 loc. 2101,14.39489,121.045107,,,,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Muntinlupa Social Hygiene Clinic,Muntinlupa Reproductive Health and Wellness Center,,Government,Primary HIV Care Facility,NCR,,Metropolitan Manila,,Muntinlupa City,,,,"Corteza Bldg., National Rd., Poblacion, Muntinlupa",63 2 8622460; 63 2 8623965; 63 2 8624012; 63 2 8610689; 63 9171858919,14.395849,121.044757,,"Mo,We,Fr 08:00 -17:00",X,https://www.facebook.com/RHWCRoom101/,,Papu Torres,https://www.webbline.com/hiv-testing-centers/,
Ospital ng Muntinlupa,,,Government,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Muntinlupa City,,,,"Civic Drive, Filinvest Alabang, Muntinlupa City",63 2 7710457 loc. 135; 63 2 7710428,14.414261,121.044109,,,,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Research Institute for Tropical Medicine - ARG,,RITM ARG,Government,Treatment Hub,NCR,,Metropolitan Manila,,Muntinlupa City,,,,"Supervisor's Office, 2nd floor, main Hospital bldg., Muntinlupa City",63 9269103929; 63 2 8072628 loc. 332,14.40985,121.037,info@ritm.gov.ph,,http://ritm.gov.ph/,https://www.facebook.com/RITMPH/?__tn__=%2Cd%2CP-R&eid=ARDDtDIRaQGe8BKEVDF6bkzYZXYX5cz07OyA634gt920MEYcIT0xZgJfPTHxay0K4vTTIbl5MnVpjbZf,,Papu Torres,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf,
Wound Algorithm Polyclinic Center,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Muntinlupa City,,,,"Civic Prime, 204 building, Civic Dr, Alabang, Muntinlupa",63 2 5121495,14.418433,121.043265,,,,,,Kevin John Wandaga,https://www.webbline.com/hiv-testing-centers/,
Navotas City Social Hygiene Clinic,,,Government,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Navotas City,,,,Tumana Health Center Matangbaka st. Navotas City,63 9186878023,14.649523,120.956664,,,X,https://www.facebook.com/NavotasSHC/,,,https://www.webbline.com/hiv-testing-centers/,
Medical Center Parañaque,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Paranaque City,,,,"Dr A. Santos Ave., Sucat Road, Paranaque",63 2 8261013; 8256911-14 loc. 16; 63 2 88262096,14.45831,121.033793,marketingnew.mcpi@gmail.com,,http://www.medicalcenterparanaque.com/,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Hi-Precision Diagnostics (Sucat Branch),,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Parañaque City,,,,"Unit A-4B Jaka Plaza Mall Dr. A Santos Ave, Sucat, Parañaque City",63 9175782237; 63 9338193858; 63 2 88363431; 63 2 84038733,14.465758,121.018216,info@hi-precision.com.ph,Mo-Sa 06:00-17:00; Su 06:00-12:00,https://www.hi-precision.com.ph/,,,Papu Torres,https://www.webbline.com/hiv-testing-centers/,
Lily by Love Yourself,,,NGO,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Parañaque City,,,,"5th Floor, Pineda Building, #98 Manalac Ave., Sitio De Asis, San Martin de Porres, Paranaque City",63 9171555955; 63 9286896422,14.48171,121.045914,info@loveyourself.ph,Tu-Su 12:00-21:00,,,,Mikko Tamura,https://www.wheninmanila.com/list-of-clinics-in-philippines-that-offer-free-hiv-testing/,
Our Lady of Peace Hospital,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Parañaque City,,,,"Coastal Road, Brgy. San Dionisio, Parañaque City",63 2 8295775 loc. 119; 63 2 8257714,14.488514,120.983615,,,,,,Mikko Tamura; Franklin Maraya,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Parañaque Doctors Hospital,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Parañaque City,,,,"175 Dona Soledad Ave.,Better Living Subd, Paranaque City",63 2 7760644 loc. 8101,14.486024,121.028515,paranaquedoctors@yahoo.com.ph,,http://paranaquedoctorshospital.com/,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
South Super Highway Medical Center,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Parañaque City,,,,Km 17 West Cavite Rd. Brg. Marcelo,63 2 8235250 loc. 809; 63 2 8218452,14.474941,121.044905,,,,,,Carmela Magayanes,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Paranaque City Social Hygiene Clinic,,,Government,Primary HIV Care Facility,NCR,,Metropolitan Manila,,Paranaque Cty,,,,"3rd floor, Right wing, Paranaque City Hall, San Antonio Ave, San Antonio, Parañaque, 1700",63 2 88268219; 63 2 88268195; 63 2 88268229,14.470796,121.022234,shc.paranaque@gmail.com,Mo-Fr 08:00-17:00,,,,IOSIF,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf,
Centralle Medical (Pasay Branch),,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Pasay City,,,,"4/F Welcome Plaza, (Old Masagana) Libertad, Pasay City",63 2 8770085; 63 2 8770436,14.546972,120.998912,info@centrallemedical.com,,,,,Franklin Maraya,https://www.webbline.com/hiv-testing-centers/,
Clinimed Biodianostic Center,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Pasay City,,,,2440-C Palm Court St. Pasay City,63 2 8330009,14.545416,120.994298,,,,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
K Line Laboratory,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Pasay City,,,,"2/F K line Bldg., Coral Way Drive, Central Business Park, Macapagal Blvd. Pasay Manila",63 2 5562956 loc. 405,14.53132,120.98829,,,,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Love Yourself Uni,,,NGO,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Pasay City,,,,"2028 Taft Avenue Extension, Pasay City",63 2 2569384,14.5551,120.99708,info@loveyourself.ph,,,,,Mikko Tamura,https://www.webbline.com/hiv-testing-centers/,
Malibay Health Center,,,Government,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Pasay City,,,,"1st Floor, Malibay Health Center, C. Jose St., Pasay City",63 2 9552638,14.534061,121.00932,,,,,,,https://www.webbline.com/hiv-testing-centers/,
Pasay City Social Hygiene Clinic,,,Government,Primary HIV Care Facility,NCR,,Metropolitan Manila,,Pasay City,,,,"Room 106, Pasay City Hall, F.B Harrison St., Pasay City",63 2 88318201; 63 2 5514180; 63 9228915674; 63 9052599229; 63 9064119185,14.544142,120.995149,,Mo-Fr 08:00-19:00,,,,Iosif,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf,
San Juan de Dios Hospital,,Holy Mother of Light Center,Private,Treatment Hub,NCR,,Metropolitan Manila,,Pasay City,,,,"2772 Roxas Blvd. Brgy. 76, Pasay City",63 2 8831973 loc. 1147; 63 9190002166; 63 9298511346,14.538501,120.993116,,Mo-Fr 08:00-17:00,https://www.sanjuandedios.org/,,,,,
Victoria By Love Yourself,,,NGO,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Pasay City,,,,"2/F Torres Bldg., 2442 Park Avenue, Pasay City, Metro Manila",63 9995292330; 63 9153107339; 63 9158318715,14.546084,120.996704,victoria@loveyourself.ph,Sa-We 12:00-20:00,,,,Mikko Tamura,https://www.wheninmanila.com/list-of-clinics-in-philippines-that-offer-free-hiv-testing/,
CADUCEUS Medical Multi-Specialty Clinic,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Pasig City,,,,"Xavier Hills Condominium, Quezon City, Philippines",63 9153998653; 63 9228188018; 63 9989771276,14.61157,121.036428,triage02@gmail.com,Mo-Su 09:00-19:00,https://caduceusmedicamultispecialty.weebly.com/,https://www.facebook.com/CaduceusMedicaMultispecialty,,Franklin Maraya,https://www.webbline.com/hiv-testing-centers/,
Hi-Precision Diagnostics (Ortigas Branch),,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Pasig City,,,,"Unit G20-G23 Ortigas Technopoint One, Doña Julia Vargas Ave., Ortigas, Pasig City",63 9257094833; 63 9177088948; 63 2 86337931; 63 2 87270506,14.584658,121.066498,info@hi-precision.com.ph,Mo-Sa 07:00-16:00,https://www.hi-precision.com.ph/,,,Mikko Tamura,https://www.webbline.com/hiv-testing-centers/,
Hi-Precision Diagnostics (Pasig Branch),,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Pasig City,,,,"Unit 102-202 Armal Building Compound, F. Legaspi St. cor C. Raymundo Ave., Maybunga, Pasig City",63 9338193850; 63 9178481407; 63 2 86283277,14.57637,121.08538,info@hi-precision.com.ph,Mo-Sa 06:00-16:00; Su 06:00-12:00,https://www.hi-precision.com.ph/,,,Mikko Tamura,https://www.webbline.com/hiv-testing-centers/,
Hi-Precision Diagnostics (Pioneer Branch),,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Pasig City,,,,"8006 Pioneer Centre Cor. United and Brixton Street, Brgy. Kapitolyo, Pasig City",63 9338193859; 63 9176594671; 63 2 86317306,14.574224,121.057836,info@hi-precision.com.ph,Mo-Sa 06:00-17:00,https://www.hi-precision.com.ph/,,,Mikko Tamura,https://www.webbline.com/hiv-testing-centers/,
The Icon Clinic,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Pasig City,,,,"Unit G3 BTTC CENTRE 288 Ortigas Ave corner Roosevelt St., Greenhills, San Juan, Metro Manila",63 9209476202,14.60341,121.04498,eric@theiconclinic.com,,X,https://www.facebook.com/TheIconClinic/,,Franklin Maraya,https://www.webbline.com/hiv-testing-centers/,
Pasig Social Hygiene Clinic,,Pasig Treatment Hub,Government,Primary HIV Care Facility,NCR,,Metropolitan Manila,,Pasig City,,,,"Rm 5, 5F Pasig City Hall, Caruncho Ave., Brgy. San Nicolas, Pasig City",63 9165519820; 63 9774992796,14.559347,121.082354,,Mo-Fr 09:00-18:00,X,https://www.facebook.com/pages/category/Social-Service/Pasig-City-Social-Hygiene-Clinic-Pasig-Treatment-Hub-1072635989523501/,,Maning,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf,
Project Red Ribbon,,,NGO,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Pasig City,,,,"Unit 401 4th Floor, Lumiere Suites, General Capinpin Street, San Antonio, Pasig,",63 2 86567297; 63 9063901031; 63 9052986954,14.57833,121.06143,contact@projectredribbon.org,,https://www.hivphilippines.com/,https://www.facebook.com/projectredribbon/,,Mikko Tamura,https://www.webbline.com/hiv-testing-centers/,
Rizal Medical Center,,,Government,Treatment Hub,NCR,,Metropolitan Manila,,Pasig City,,,,"425 Pasig Blvd. Barangay Bagong Ilog, Pasig City",63 9326019341; 63 9778421435; 63 9361944238; 63 9326019341,14.564056,121.065929,,Mo-Fr 07:00-16:00,http://www.rmc.doh.gov.ph/,,,Mikko Tamura; Carmela Magayanes,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf,
Saint Camillus Medical Center,St. Camilus Poly Clinic,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Pasig City,,,,"116 E. Amang Rodriguez Avenue, Santolan Pasig City 1600 Philippines",63 2 8645374; 63 2 6453741; 63 9052599199; 63 2 6453742,14.61204,121.09182,stcampasig@stcamillusmedicalcenterpasig.com,,http://www.stcamillusmedicalcenterpasig.com/,https://www.facebook.com/stcamillusmedicalcenter/,,Maning,https://www.webbline.com/hiv-testing-centers/,
The Medical City,,i-REACT Clinic,Private,Treatment Hub,NCR,,Metropolitan Manila,,Pasig City,,,,"Ortigas Ave, Pasg City",63 2 9881000 loc. 6765,14.58993,121.06928,rctecson@medicalcity.com.ph; cndiwa@medicalcity.com ph,Mo-Su 09:00-15:00,http://themedicalcity.com,,,Mikko Tamura,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf,
A. J. Maximo Social Hygiene Clinic,,,Government,Primary HIV Care Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"2nd flr. Bautista Building, 8 Dona Isaura, Novaliches, Quezon City",63 9985734877,14.720698,121.036615,,,X,https://www.facebook.com/A-J-Maximo-Social-Hygiene-Clinic-102591168005944/,,Joji Bonilla,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf,
